Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,115751,4730,69205,41816,4159,4.09,59.79,6.83,38928341,2973.0,103902,11849,11.4
Albania,132513,2456,129994,63,1,1.85,98.1,1.89,2877800,46047.0,132490,23,0.02
Algeria,138840,3699,96572,38569,375,2.66,69.56,3.83,43851043,3166.0,136294,2546,1.87
Andorra,13882,127,13697,58,0,0.91,98.67,0.93,77265,179667.0,13864,18,0.13
Angola,38613,891,32819,4903,57,2.31,84.99,2.71,32866268,1175.0,37748,865,2.29
Antigua and Barbuda,1263,42,1221,0,0,3.33,96.67,3.44,97928,12897.0,1263,0,0.0
Argentina,4423636,93142,4046308,284186,18389,2.11,91.47,2.3,45195777,97877.0,4277395,146241,3.42
Armenia,224851,4510,216645,3696,54,2.01,96.35,2.08,2963234,75880.0,224253,598,0.27
Australia,30560,910,23788,5862,32,2.98,77.84,3.83,50919400,600.0,30366,194,0.64
Austria,650324,10701,637545,2078,63,1.65,98.03,1.68,9006400,72207.0,649670,654,0.1
Azerbaijan,335874,4970,330123,781,38,1.48,98.29,1.51,10139175,33126.0,335521,353,0.11
Bahamas,12467,245,11434,788,0,1.97,91.71,2.14,393248,31703.0,12364,103,0.83
Bahrain,265477,1348,260363,3766,230,0.51,98.07,0.52,1701583,156018.0,263295,2182,0.83
Bangladesh,896770,14276,807673,74821,8364,1.59,90.06,1.77,164689383,5445.0,856304,40466,4.73
Barbados,4077,47,3998,32,2,1.15,98.06,1.18,287371,14187.0,4045,32,0.79
Belarus,415780,3122,408503,4155,441,0.75,98.25,0.76,9449321,44001.0,411153,4627,1.13
Belgium,1083478,25168,0,1058310,1002,2.32,0.0,7.993717277486913,23021022,47065.0,1079640,3838,0.36
Belize,13189,329,12645,215,52,2.49,95.88,2.6,397621,33170.0,13039,150,1.15
Benin,8170,104,8000,66,0,1.27,97.92,1.3,12123198,674.0,8140,30,0.37
Bhutan,2062,1,1767,294,10,0.05,85.69,0.06,771612,2672.0,1939,123,6.34
Bolivia,435568,16631,356575,62362,1633,3.82,81.86,4.66,11673029,37314.0,422811,12757,3.02
Bosnia and Herzegovina,204991,9658,182424,12909,46,4.71,88.99,5.29,3280815,62482.0,204860,131,0.06
Botswana,69680,1125,63932,4623,2188,1.61,91.75,1.76,2351625,29631.0,65808,3872,5.88
Brazil,18448402,514092,16240380,1693930,27804,2.79,88.03,3.17,422706534,43644.0,17966831,481571,2.68
Brunei,259,3,245,11,0,1.16,94.59,1.22,437483,592.0,255,4,1.57
Bulgaria,421646,18040,394242,9364,115,4.28,93.5,4.58,6948445,60682.0,421152,494,0.12
Burkina Faso,13479,168,13301,10,1,1.25,98.68,1.26,20903278,645.0,13469,10,0.07
Burma,154385,3309,135703,15373,1225,2.14,87.9,2.44,54409800,2837.0,148617,5768,3.88
Burundi,5423,8,773,4642,75,0.15,14.25,1.03,11890781,456.0,5242,181,3.45
Cabo Verde,32399,286,31530,583,27,0.88,97.32,0.91,555988,58273.0,32039,360,1.12
Cambodia,48532,556,42764,5212,883,1.15,88.12,1.3,16718971,2903.0,43446,5086,11.71
Cameroon,80487,1320,35261,43906,0,1.64,43.81,3.74,26545864,3032.0,80328,159,0.2
Canada,1421695,26215,1387528,7952,1088,1.84,97.6,1.89,75750184,18768.0,1417236,4459,0.31
